City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
11,Praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
13,Norman Wells,CA,80.64,broken clouds,65.282,-126.8329,Heritage Hotel
17,Rikitea,PF,75.45,few clouds,-23.1203,-134.9692,People ThankYou
22,Oussouye,SN,78.73,overcast clouds,12.485,-16.5469,Auberge du Routard
24,Bengkulu,ID,82.22,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
28,Hithadhoo,MV,82.51,overcast clouds,-0.6,73.0833,Scoop Guest House
30,Xichang,CN,80.92,scattered clouds,27.8964,102.2634,Xichang ibis Hotel
32,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
43,Majene,ID,84.34,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
44,Namatanai,PG,84.29,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
46,Phenix City,US,82.87,clear sky,32.471,-85.0008,Columbus Marriott
51,Bubaque,GW,80.31,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
54,Butaritari,KI,82.02,light rain,3.0707,172.7902,Isles Sunset Lodge
55,Katsuura,JP,84.22,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
59,Anshun,CN,81.05,scattered clouds,26.25,105.9333,安顺麦吉风格酒店
61,Tual,ID,77.95,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
69,Marawi,PH,78.26,broken clouds,7.9986,124.2928,Derogongan Residence
70,Mount Pleasant,US,82.38,broken clouds,32.7941,-79.8626,Best Western Patriots Point
71,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
72,Atuona,PF,77.36,broken clouds,-9.8,-139.0333,Villa Enata
88,Faanui,PF,79.95,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
92,Zhanakorgan,KZ,83.55,few clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
93,Rezina,MD,75.87,overcast clouds,47.7492,28.9622,B&B Hotel Habitat
95,Dingle,PH,87.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
97,Catuday,PH,83.28,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
99,Bodden Town,KY,82.92,broken clouds,19.2833,-81.25,Will T Place
101,Alihe,CN,76.98,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
103,Kilindoni,TZ,75.94,clear sky,-7.9139,39.6668,Bustani B&B
107,Kavaratti,IN,81.45,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
108,Abnub,EG,80.82,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
110,Port Hedland,AU,75.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
113,Hobyo,SO,76.8,broken clouds,5.3505,48.5268,Iftin hotel hobyo
115,Naze,JP,83.32,broken clouds,28.3667,129.4833,Shishime Hotel
116,Awbari,LY,77.77,clear sky,26.5921,12.7805,فندق أوباري
120,Labuhan,ID,84.78,broken clouds,-6.8844,112.2051,DoubleFAG
125,Paciran,ID,84.74,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
130,Samarai,PG,83.75,overcast clouds,-10.6167,150.6667,Nuli Sapi
136,Arys,KZ,83.34,clear sky,42.4252,68.795,Gostinitsa
142,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
144,San Patricio,US,84.88,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
145,Cabo San Lucas,MX,80.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
147,Hamilton,US,80.69,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
152,Tanabe,JP,85.21,scattered clouds,33.7333,135.3667,美吉屋旅館
155,Mana,GF,76.33,overcast clouds,5.6592,-53.7767,LE SAMANA
165,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
167,Kihei,US,80.62,few clouds,20.785,-156.4656,Maui Sunset
171,Chimore,BO,76.35,overcast clouds,-16.9833,-65.1333,Bichito
172,Noumea,NC,84.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
173,Belyy Yar,RU,75.09,clear sky,53.6039,91.3903,Pasportnyy Stol
186,Orlando,US,82.45,clear sky,28.5383,-81.3792,"Grand Bohemian Hotel Orlando, Autograph Collection"
189,Hirara,JP,87.66,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
192,Coahuayana,MX,77.85,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
193,Riberalta,BO,75.38,broken clouds,-10.9833,-66.1,Hotel Colonial
197,Kirakira,SB,83.46,overcast clouds,-10.4544,161.9205,SanBiz Lodge
198,Weiser,US,80.8,clear sky,44.251,-116.9693,The Colonial Motel
199,Lorengau,PG,83.71,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
200,Cockburn Town,TC,81.03,clear sky,21.4612,-71.1419,Osprey Beach Hotel
204,High Rock,BS,82.42,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
209,Matara,LK,83.03,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
210,Shimoda,JP,86.36,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
215,Bajil,YE,85.66,few clouds,15.0584,43.2851,فندق حضرموت
216,Uong Bi,VN,85.98,overcast clouds,21.0333,106.7833,khach san Trung lien
217,Tura,IN,84.0,heavy intensity rain,25.5198,90.2201,Hotel RIKMAN Continental
219,Bac Lieu,VN,86.67,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
220,Jamtara,IN,87.48,broken clouds,23.95,86.8,SM LODGE AND ROOMS
221,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
229,Biak,ID,81.9,overcast clouds,-0.9131,122.8766,Penginapan Kim
230,Padang,ID,84.97,overcast clouds,-0.9492,100.3543,Mercure Padang
234,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
235,Oleksandrivka,UA,79.03,few clouds,48.9634,32.2349,Смт олександрівка
239,Sakakah,SA,81.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
246,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
256,Mont-Dore,NC,84.18,broken clouds,-22.2833,166.5833,GIte
266,Ciudad Bolivar,VE,75.18,overcast clouds,8.1222,-63.5497,Hotel Edi
272,Auki,SB,84.29,overcast clouds,-8.7676,160.7034,Auki Motel
276,Wajima,JP,88.48,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
281,Bandarbeyla,SO,80.98,scattered clouds,9.4942,50.8122,JABIR HOTEL
284,Andros Town,BS,82.36,scattered clouds,24.7,-77.7667,Hanks place
285,Victoria,HK,87.96,moderate rain,22.2855,114.1577,Mini Central
288,Kolokani,ML,75.7,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
289,San Javier,ES,78.58,broken clouds,37.8063,-0.8374,Hotel Mar Menor
290,Hambantota,LK,89.94,few clouds,6.1241,81.1185,Bungalow 63
291,Hasaki,JP,77.4,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
293,Eastlake,US,78.01,scattered clouds,41.6539,-81.4504,Four Points by Sheraton Cleveland-Eastlake
301,Dhidhdhoo,MV,82.36,overcast clouds,6.8833,73.1,Dhidhoo beach
302,Garden City,US,76.05,broken clouds,42.3256,-83.331,Big Trees Mobile Home Community
303,Buraydah,SA,84.65,clear sky,26.326,43.975,Mövenpick Qassim
305,Harper,LR,75.99,broken clouds,4.375,-7.7169,Screensaver
309,Roquetas De Mar,ES,77.0,overcast clouds,36.7642,-2.6148,Mediterráneo Bay Hotel and Resort
310,Kertosono,ID,86.34,overcast clouds,-7.5833,112.1,Wisma melati
313,Taytayan,PH,85.77,broken clouds,7.7339,126.5019,Sun and Sand Family Resort
316,Blagoveshchensk,RU,86.61,scattered clouds,50.2667,127.5333,Hotel Strannik
326,Manawar,IN,86.14,scattered clouds,22.2333,75.0833,Despojal
327,Carupano,VE,75.83,overcast clouds,10.6678,-63.2585,Hotel La dorada
330,Sur,OM,86.25,light rain,22.5667,59.5289,Sur Plaza Hotel
331,Hengshui,CN,85.91,overcast clouds,37.7322,115.7011,Eaka Hotel Hengshui Railway Station Branch
332,La Asuncion,VE,80.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
336,Bengbu,CN,79.81,overcast clouds,32.9408,117.3608,Howard Johnson Nanshan Plaza
337,Baoding,CN,88.65,broken clouds,38.8511,115.4903,Xiu Lan Hotel
339,Medea,DZ,75.22,overcast clouds,36.2642,2.7539,Hôtel M'Sallah
340,Bud,US,87.78,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
341,Rosetta,EG,78.62,clear sky,31.4044,30.4164,Green Valley
353,Moindou,NC,77.54,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
354,Kavieng,PG,84.7,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
356,Bougouni,ML,75.65,overcast clouds,11.417,-7.479,Non Stop
358,Arlit,NE,83.59,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
361,Sibolga,ID,86.85,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
362,Swanton,US,75.9,moderate rain,41.5887,-83.8911,Swissaire Estates
368,Hun,LY,76.57,clear sky,29.1268,15.9477,Alrwasi Hotel
383,Keningau,MY,84.49,overcast clouds,5.3378,116.1602,Sabindo Hotel
386,Marsh Harbour,BS,82.06,few clouds,26.5412,-77.0636,Abaco Beach Resort
388,Ko Samui,TH,87.71,few clouds,9.5357,99.9357,The Passage
391,Kremenchuk,UA,77.31,clear sky,49.0973,33.4197,"Готель ""Йолки-Палки"""
392,Siva,EG,79.16,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
394,Davila,PH,87.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
396,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
397,Totness,SR,75.78,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
398,Sorong,ID,82.13,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
399,Gizo,SB,85.01,broken clouds,-8.103,156.8419,Imagination Island
402,Gwadar,PK,86.72,overcast clouds,25.1216,62.3254,Sadaf Resort
403,Araceli,PH,83.62,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
404,Neryungri,RU,81.81,overcast clouds,56.6709,124.6491,Pyat' Zvozd
405,Songjianghe,CN,89.06,few clouds,42.1859,127.479,Sijisheng Fashion Guest House
409,Santa,PH,80.4,overcast clouds,17.486,120.4348,Monte Leah Beach Resort
411,Banda Aceh,ID,87.93,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
418,Shingu,JP,82.13,scattered clouds,33.7333,135.9833,Shingu UI Hotel
428,Fare,PF,79.63,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
432,Kapit,MY,89.76,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
433,Jati,PK,83.35,overcast clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
446,Baiyin,CN,88.9,clear sky,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
455,Hays,US,85.93,clear sky,30.0502,-98.0336,Sinya on Lone Man Creek
462,Bilma,NE,86.07,clear sky,18.6853,12.9164,Expeditions Ténére voyages
463,Isangel,VU,79.56,overcast clouds,-19.55,169.2667,Tanna Lodge
466,Dire Dawa,ET,76.21,broken clouds,9.5931,41.8661,Samrat Hotel
470,Amahai,ID,78.46,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
475,Mahina,PF,78.57,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
477,Suba,PH,83.39,heavy intensity rain,10.8438,121.0102,Jarnchi Pension House
478,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
479,Umm Lajj,SA,88.63,clear sky,25.0213,37.2685,Moon light Furnished Units
481,Hurghada,EG,87.84,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
488,San-Pedro,CI,76.01,overcast clouds,4.7485,-6.6363,Hotel Maria
490,San Policarpo,PH,83.43,overcast clouds,12.1791,125.5072,Agapita M. Nicart
491,Lucea,JM,82.26,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
496,Suez,EG,77.63,clear sky,29.9737,32.5263,Green House
502,Ixtapa,MX,81.23,broken clouds,20.7,-105.2,hotel la terminal
504,Meulaboh,ID,86.05,broken clouds,4.1363,96.1285,Kost Pria
511,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
516,Boa Vista,BR,76.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
518,Paungde,MM,89.11,overcast clouds,18.4833,95.5,Shwe Eain Matt highly cool guest house
521,Giddalur,IN,79.39,light rain,15.35,78.9167,Shivaji Lodge
522,Najran,SA,84.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
523,Nahan,IN,84.43,overcast clouds,30.55,77.3,Hotel Heritage Sanyam & Restaurant Ekant
524,Sinnamary,GF,75.06,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
525,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
529,Erzin,TR,78.03,clear sky,36.9559,36.2,Artemis Otel
530,Elat,IL,80.44,clear sky,29.5581,34.9482,Club Hotel Eilat
532,Ocos,GT,78.98,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
533,Beruwala,LK,82.72,overcast clouds,6.4788,79.9828,The Palms Hotel
540,Aquiraz,BR,75.29,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
541,Canon City,US,77.18,broken clouds,38.441,-105.2424,Travel Inn Motel
542,Abu Kamal,SY,87.8,clear sky,34.4506,40.9171,البوكمال
543,Rantepao,ID,79.16,broken clouds,-2.9701,119.8978,Hotel Luta Resort
544,Sola,VU,80.76,broken clouds,-13.8833,167.55,Leumerus Bungalows
546,Loa Janan,ID,85.53,overcast clouds,-0.583,117.095,Kost bu jono
549,Sorada,IN,89.98,overcast clouds,19.75,84.4333,PWD Guest House
550,Birobidzhan,RU,82.81,light rain,48.8,132.95,Hotel Central (Vostok)
553,Salalah,OM,77.09,mist,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
557,Seoul,KR,89.2,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
558,Anchorage,US,75.13,clear sky,61.2181,-149.9003,Hotel Captain Cook
560,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
562,Real,PH,86.97,light rain,14.6625,121.6047,Aranda beach resort
565,Konibodom,TJ,83.93,clear sky,40.2843,70.4426,"Hotel ""Orom"""
569,Nabire,ID,85.15,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
571,Jabinyanah,TN,76.8,clear sky,35.035,10.9081,maison belmabrouk
572,Ancona,IT,75.67,clear sky,43.55,13.1667,Casa Vandina - B&B
573,Hazorasp,UZ,78.64,clear sky,41.3194,61.0742,Kemping wifi hotel
574,Lamar,US,86.65,clear sky,33.6668,-95.5836,Kings Inn Paris TX
575,Juarez,MX,88.61,scattered clouds,31.7333,-106.4833,Hotel Santa Fe
583,Big Spring,US,84.65,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
587,Waddan,LY,76.71,clear sky,29.1614,16.139,محل الشريف محمد العايب
588,Luquillo,PR,80.02,scattered clouds,18.3725,-65.7166,Yunque Mar Beach Hotel
589,Micco,US,84.22,few clouds,27.8806,-80.5003,Seashell Suites Resort
593,Bawku,GH,75.92,few clouds,11.0616,-0.2417,Ultimate Guest House
594,Basco,PH,84.13,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
597,Benjamin Hill,MX,82.92,clear sky,30.1667,-111.1,Hotel Benjamín Hill
600,Ambunti,PG,85.53,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
603,Sabzevar,IR,76.28,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
605,Biltine,TD,79.88,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
610,Abu Zabad,SD,78.03,few clouds,12.35,29.25,حامد محمد نور
614,Riyadh,SA,86.14,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
616,Alexandria,EG,76.96,clear sky,31.2156,29.9553,Royal Crown Hotel
619,Gandevi,IN,80.49,overcast clouds,20.8167,72.9833,Suncity Complex
621,Aden,YE,87.03,broken clouds,12.7794,45.0367,Sama Emirate Hotel
623,La Palma,US,75.42,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
626,Safaga,EG,88.43,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
628,East Brunswick,US,75.99,overcast clouds,40.4279,-74.416,SureStay Hotel By Best Western East Brunswick
629,Armeria,MX,78.67,broken clouds,18.9333,-103.9667,Hotel la Herradura
633,Varadero,CU,75.96,scattered clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
634,Afzalpur,IN,77.72,overcast clouds,17.2,76.35,Bhagyavanti hotel (ಭಾಗ್ಯವಂತಿ ಹೋಟೆಲ್ ಅಫಜಲಪೂರ)
636,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
637,Sao Felix Do Xingu,BR,75.83,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
641,Manaus,BR,79.29,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
648,Tautira,PF,78.33,light rain,-17.7333,-149.15,Pension Oaoa
662,Xining,CN,75.79,clear sky,36.6167,101.7667,Super Leisure Hotel
665,Sabancuy,MX,78.24,overcast clouds,18.9667,-91.1833,pulpo
666,Veraval,IN,79.81,moderate rain,20.9,70.3667,Lords Inn Somnath
667,Les Cayes,HT,77.13,scattered clouds,18.2,-73.75,Villa Orphee
669,Prescott,US,78.28,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
673,Roxana,CR,78.03,overcast clouds,10.2753,-83.7513,3BYES1
679,Zhumadian,CN,88.48,broken clouds,32.9794,114.0294,Ouyue House Hotel
680,Dosso,NE,81.66,broken clouds,13.049,3.1937,Hotel Toubal
681,Jawhar,SO,78.31,overcast clouds,2.7809,45.5005,Hotel Shabelle
683,Wanning,CN,88.59,moderate rain,18.8003,110.3967,Paradise Hotel
684,Tateyama,JP,84.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
686,Bani Walid,LY,79.43,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
